idPartido,Temporada,Ronda,Local,Visitante,Evento,GolesLocal,GolesVisitante,VictoriaLocal,Empate,VictoriaVisitante,%_Victorias_Local,%_Empate,%_Victoria_Visitante,%_Equipo1_Ganado,%_Equipo2_Ganado,%_1_G_Temporada,%_1_G_Temporada_L,%_1_E_Temporada_L,%_1_P_Temporada_L,1_Media_G,1_Media_G_Local,1_Media_Goles_PP,1_ValorJugadores,1_MediaJugadores,%_2_G_Temporada,%_2_G_Temporada_L,%_2_E_Temporada_L,%_2_P_Temporada_L,2_Media_G,2_Media_G_Local,2_Media_Goles_PP,2_ValorJugadores,2_MediaJugadores
125,2022-01-01,Group stage,235,11,Stadion Maksimir,1,0,1,0,0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,50.0,50.0,0.0,0.0,0.6,0.0,,55.56,60.0,20.0,20.0,0.56,0.6,1.33,0.0,
126,2022-01-01,Group stage,14,153,Signal Iduna Park,3,0,1,0,0,0.0,100.0,0.0,0.0,0.0,28.57,33.33,66.67,0.0,0.29,0.33,1.14,0.0,,0.0,0.0,100.0,0.0,0.0,0.0,0.2,0.0,
127,2022-01-01,Group stage,16,1,Celtic Park,0,3,0,0,1,100.0,0.0,0.0,0.0,100.0,0.0,0.0,50.0,50.0,0.0,0.0,0.8,0.0,,63.64,83.33,16.67,0.0,0.64,0.83,2.09,0.0,
128,2022-01-01,Group stage,10,298,Estádio do Sport Lisboa e Benfica,2,0,1,0,0,0.0,0.0,100.0,100.0,0.0,55.56,50.0,25.0,25.0,0.56,0.5,2.67,0.0,,20.0,33.33,0.0,66.67,0.2,0.33,1.4,0.0,
129,2022-01-01,Group stage,184,2,Red Bull Arena,1,1,0,1,0,100.0,0.0,0.0,0.0,100.0,20.0,50.0,0.0,50.0,0.2,0.5,0.8,0.0,,45.45,66.67,0.0,33.33,0.45,0.67,1.27,0.0,
130,2022-01-01,Group stage,80,15,Estadio Ramón Sánchez Pizjuán,0,4,0,0,1,66.67,0.0,33.33,0.0,100.0,20.0,50.0,0.0,50.0,0.2,0.5,1.2,0.0,,58.33,100.0,0.0,0.0,0.58,1.0,2.33,0.0,
131,2022-01-01,Group stage,68,92,Red Bull Arena,1,4,0,0,1,0.0,0.0,100.0,100.0,0.0,57.14,66.67,33.33,0.0,0.57,0.67,1.86,0.0,,0.0,0.0,66.67,33.33,0.0,0.0,0.8,0.0,
132,2022-01-01,Group stage,28,9,Parc des Princes,2,1,1,0,0,0.0,0.0,100.0,100.0,0.0,42.86,33.33,33.33,33.33,0.43,0.33,2.0,0.0,,20.0,33.33,0.0,66.67,0.2,0.33,1.6,0.0,
133,2022-01-01,Group stage,6,49,Johan Cruyff ArenA,4,0,1,0,0,0.0,0.0,100.0,100.0,0.0,20.0,0.0,0.0,100.0,0.2,0.0,1.4,0.0,,0.0,0.0,0.0,100.0,0.0,0.0,0.4,0.0,
134,2022-01-01,Group stage,41,87,Deutsche Bank Park,0,3,0,0,1,0.0,0.0,100.0,100.0,0.0,42.86,33.33,33.33,33.33,0.43,0.33,1.0,0.0,,20.0,33.33,0.0,66.67,0.2,0.33,1.0,0.0,
135,2022-01-01,Group stage,33,17,Tottenham Hotspur Stadium,2,0,1,0,0,0.0,0.0,100.0,100.0,0.0,28.57,33.33,66.67,0.0,0.29,0.33,0.86,0.0,,40.0,33.33,0.0,66.67,0.4,0.33,1.6,0.0,
136,2022-01-01,Group stage,90,4,Stadio Diego Armando Maradona,4,1,1,0,0,80.0,20.0,0.0,40.0,40.0,66.67,75.0,25.0,0.0,0.67,0.75,2.44,0.0,,71.43,75.0,0.0,25.0,0.71,0.75,2.57,0.0,
137,2022-01-01,Group stage,24,12,Estadio Cívitas Metropolitano,2,1,1,0,0,33.33,33.33,33.33,33.33,33.33,0.0,0.0,100.0,0.0,0.0,0.0,0.6,0.0,,57.14,50.0,25.0,25.0,0.57,0.5,1.57,0.0,
138,2022-01-01,Group stage,5,299,Camp Nou,5,1,1,0,0,33.33,0.0,66.67,100.0,0.0,20.0,0.0,50.0,50.0,0.2,0.0,1.4,0.0,,0.0,0.0,0.0,100.0,0.0,0.0,0.8,0.0,
139,2022-01-01,Group stage,7,3,Stadio Giuseppe Meazza,0,2,0,0,1,16.67,16.67,66.67,33.33,50.0,58.33,80.0,20.0,0.0,0.58,0.8,1.58,0.0,,77.78,80.0,20.0,0.0,0.78,0.8,2.22,0.0,
140,2022-01-01,Group stage,38,37,Jan Breydelstadion,1,0,1,0,0,0.0,100.0,0.0,0.0,0.0,28.57,33.33,0.0,66.67,0.29,0.33,1.0,0.0,,20.0,33.33,33.33,33.33,0.2,0.33,0.8,0.0,
141,2022-01-01,Group stage,87,33,Estádio José Alvalade,2,0,1,0,0,0.0,100.0,0.0,0.0,0.0,20.0,0.0,0.0,100.0,0.2,0.0,1.2,0.0,,42.86,50.0,50.0,0.0,0.43,0.5,1.14,0.0,
142,2022-01-01,Group stage,299,7,Doosan Arena,0,2,0,0,1,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,,50.0,66.67,16.67,16.67,0.5,0.67,1.42,0.0,
143,2022-01-01,Group stage,4,6,Anfield,2,1,1,0,0,33.33,0.0,66.67,100.0,0.0,57.14,66.67,0.0,33.33,0.57,0.67,2.43,0.0,,40.0,33.33,0.0,66.67,0.4,0.33,2.0,0.0,
144,2022-01-01,Group stage,12,38,Estádio Do Dragão,0,4,0,0,1,33.33,0.0,66.67,100.0,0.0,57.14,66.67,33.33,0.0,0.57,0.67,1.71,0.0,,28.57,50.0,0.0,50.0,0.29,0.5,0.57,0.0,
145,2022-01-01,Group stage,37,24,BayArena,2,0,1,0,0,42.86,28.57,28.57,42.86,28.57,0.0,0.0,50.0,50.0,0.0,0.0,0.4,0.0,,20.0,33.33,66.67,0.0,0.2,0.33,1.0,0.0,
146,2022-01-01,Group stage,17,41,Orange Vélodrome,0,1,0,0,1,100.0,0.0,0.0,0.0,100.0,40.0,50.0,0.0,50.0,0.4,0.5,1.6,0.0,,28.57,25.0,25.0,50.0,0.29,0.25,0.86,0.0,
147,2022-01-01,Group stage,3,5,Allianz Arena,2,0,1,0,0,50.0,10.0,40.0,70.0,20.0,77.78,75.0,25.0,0.0,0.78,0.75,2.22,0.0,,40.0,33.33,33.33,33.33,0.4,0.33,2.4,0.0,
148,2022-01-01,Group stage,2,235,Stadio Giuseppe Meazza,3,1,1,0,0,0.0,0.0,100.0,100.0,0.0,36.36,60.0,0.0,40.0,0.36,0.6,1.09,0.0,,20.0,33.33,33.33,33.33,0.2,0.33,0.6,0.0,
149,2022-01-01,Group stage,92,16,Stadion Miejski Legii Warszawa im. Marsz...,1,1,0,1,0,80.0,20.0,0.0,40.0,40.0,20.0,0.0,50.0,50.0,0.2,0.0,1.4,0.0,,0.0,0.0,33.33,66.67,0.0,0.0,0.6,0.0,
150,2022-01-01,Group stage,49,90,Ibrox Stadium,0,3,0,0,1,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.4,0.0,,66.67,80.0,20.0,0.0,0.67,0.8,2.56,0.0,
151,2022-01-01,Group stage,11,184,Stamford Bridge,1,1,0,1,0,0.0,0.0,100.0,100.0,0.0,55.56,75.0,0.0,25.0,0.56,0.75,1.22,0.0,,20.0,33.33,33.33,33.33,0.2,0.33,0.8,0.0,
152,2022-01-01,Group stage,15,14,Etihad Stadium,2,1,1,0,0,40.0,40.0,20.0,40.0,20.0,58.33,100.0,0.0,0.0,0.58,1.0,2.5,0.0,,42.86,50.0,50.0,0.0,0.43,0.5,1.43,0.0,
153,2022-01-01,Group stage,153,80,Parken,0,0,0,1,0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.2,0.0,,20.0,33.33,0.0,66.67,0.2,0.33,1.2,0.0,
154,2022-01-01,Group stage,9,10,Allianz Stadium,1,2,0,0,1,100.0,0.0,0.0,0.0,100.0,20.0,50.0,0.0,50.0,0.2,0.5,1.6,0.0,,55.56,60.0,20.0,20.0,0.56,0.6,2.67,0.0,
155,2022-01-01,Group stage,1,68,Estadio Santiago Bernabéu,2,0,1,0,0,33.33,33.33,33.33,33.33,33.33,63.64,80.0,20.0,0.0,0.64,0.8,2.18,0.0,,57.14,50.0,25.0,25.0,0.57,0.5,2.0,0.0,
156,2022-01-01,Group stage,298,28,Sammy Ofer Stadium,1,3,0,0,1,100.0,0.0,0.0,0.0,100.0,20.0,50.0,0.0,50.0,0.2,0.5,1.2,0.0,,42.86,50.0,25.0,25.0,0.43,0.5,1.86,0.0,
157,2022-01-01,Group stage,3,299,Allianz Arena,5,0,1,0,0,33.33,0.0,66.67,100.0,0.0,77.78,75.0,25.0,0.0,0.78,0.75,1.89,0.0,,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,
158,2022-01-01,Group stage,17,87,Orange Vélodrome,4,1,1,0,0,0.0,0.0,100.0,100.0,0.0,20.0,0.0,0.0,100.0,0.2,0.0,0.8,0.0,,40.0,33.33,0.0,66.67,0.4,0.33,1.4,0.0,
159,2022-01-01,Group stage,4,49,Anfield,2,0,1,0,0,0.0,0.0,100.0,100.0,0.0,57.14,66.67,0.0,33.33,0.57,0.67,2.43,0.0,,0.0,0.0,0.0,100.0,0.0,0.0,0.4,0.0,
160,2022-01-01,Group stage,12,37,Estádio Do Dragão,2,0,1,0,0,0.0,0.0,100.0,100.0,0.0,42.86,33.33,33.33,33.33,0.43,0.33,1.43,0.0,,20.0,33.33,33.33,33.33,0.2,0.33,0.8,0.0,
161,2022-01-01,Group stage,41,33,Deutsche Bank Park,0,0,0,1,0,100.0,0.0,0.0,0.0,100.0,42.86,33.33,0.0,66.67,0.43,0.33,1.0,0.0,,42.86,50.0,50.0,0.0,0.43,0.5,1.14,0.0,
162,2022-01-01,Group stage,7,5,Stadio Giuseppe Meazza,1,0,1,0,0,55.56,33.33,11.11,11.11,55.56,50.0,60.0,20.0,20.0,0.5,0.6,1.5,0.0,,40.0,33.33,33.33,33.33,0.4,0.33,2.4,0.0,
163,2022-01-01,Group stage,6,90,Johan Cruyff ArenA,1,6,0,0,1,100.0,0.0,0.0,0.0,100.0,40.0,50.0,0.0,50.0,0.4,0.5,2.0,0.0,,66.67,80.0,20.0,0.0,0.67,0.8,2.22,0.0,
164,2022-01-01,Group stage,38,24,Jan Breydelstadion,2,0,1,0,0,33.33,66.67,0.0,0.0,33.33,28.57,33.33,0.0,66.67,0.29,0.33,0.86,0.0,,20.0,33.33,66.67,0.0,0.2,0.33,1.0,0.0,
165,2022-01-01,Group stage,68,16,Red Bull Arena,3,1,1,0,0,0.0,0.0,100.0,100.0,0.0,42.86,33.33,33.33,33.33,0.43,0.33,1.57,0.0,,0.0,0.0,33.33,66.67,0.0,0.0,0.6,0.0,
166,2022-01-01,Group stage,184,235,Red Bull Arena,1,0,1,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.8,0.0,,20.0,33.33,33.33,33.33,0.2,0.33,0.8,0.0,
167,2022-01-01,Group stage,11,2,Stamford Bridge,3,0,1,0,0,0.0,0.0,100.0,100.0,0.0,44.44,50.0,25.0,25.0,0.44,0.5,1.0,0.0,,45.45,66.67,0.0,33.33,0.45,0.67,1.36,0.0,
168,2022-01-01,Group stage,10,28,Estádio do Sport Lisboa e Benfica,1,1,0,1,0,66.67,33.33,0.0,33.33,33.33,66.67,75.0,0.0,25.0,0.67,0.75,2.78,0.0,,57.14,50.0,25.0,25.0,0.57,0.5,2.14,0.0,
169,2022-01-01,Group stage,15,153,Etihad Stadium,5,0,1,0,0,33.33,33.33,33.33,66.67,0.0,58.33,100.0,0.0,0.0,0.58,1.0,2.25,0.0,,0.0,0.0,100.0,0.0,0.0,0.0,0.2,0.0,
170,2022-01-01,Group stage,1,92,Estadio Santiago Bernabéu,2,1,1,0,0,42.86,14.29,42.86,57.14,28.57,63.64,80.0,20.0,0.0,0.64,0.8,2.18,0.0,,20.0,0.0,66.67,33.33,0.2,0.0,1.4,0.0,
171,2022-01-01,Group stage,80,14,Estadio Ramón Sánchez Pizjuán,1,4,0,0,1,0.0,66.67,33.33,0.0,33.33,20.0,50.0,0.0,50.0,0.2,0.5,1.0,0.0,,28.57,50.0,50.0,0.0,0.29,0.5,1.0,0.0,
