idPartido,Temporada,Ronda,Local,Visitante,Evento,GolesLocal,GolesVisitante,VictoriaLocal,Empate,VictoriaVisitante,%_Victorias_Local,%_Empate,%_Victoria_Visitante,%_Equipo1_Ganado,%_Equipo2_Ganado,%_1_G_Temporada,%_1_G_Temporada_L,%_1_E_Temporada_L,%_1_P_Temporada_L,1_Media_G,1_Media_G_Local,1_Media_Goles_PP,1_ValorJugadores,1_MediaJugadores,%_2_G_Temporada,%_2_G_Temporada_L,%_2_E_Temporada_L,%_2_P_Temporada_L,2_Media_G,2_Media_G_Local,2_Media_Goles_PP,2_ValorJugadores,2_MediaJugadores
1,2023-01-01,Group stage,2,307,Stadio Giuseppe Meazza,0,0,0,1,0,0.0,0.0,100.0,100.0,0.0,40.0,50.0,0.0,50.0,0.4,0.5,1.0,0.0,,20.0,33.33,0.0,66.67,0.2,0.33,1.2,0.0,
2,2023-01-01,Group stage,67,68,Stadion Wankdorf,1,3,0,0,1,100.0,0.0,0.0,0.0,100.0,20.0,50.0,0.0,50.0,0.2,0.5,1.2,0.0,,42.86,50.0,0.0,50.0,0.43,0.5,1.57,0.0,
3,2023-01-01,Group stage,15,20,Etihad Stadium,3,1,1,0,0,0.0,0.0,100.0,100.0,0.0,77.78,75.0,0.0,25.0,0.78,0.75,2.78,0.0,,0.0,0.0,33.33,66.67,0.0,0.0,1.2,0.0,
4,2023-01-01,Group stage,28,14,Parc des Princes,2,0,1,0,0,40.0,60.0,0.0,20.0,20.0,36.36,40.0,40.0,20.0,0.36,0.4,1.55,0.0,,45.45,50.0,50.0,0.0,0.45,0.5,1.36,0.0,
5,2023-01-01,Group stage,99,24,Stadio Olimpico,1,1,0,1,0,100.0,0.0,0.0,0.0,100.0,57.14,100.0,0.0,0.0,0.57,1.0,1.0,0.0,,55.56,80.0,0.0,20.0,0.56,0.8,2.44,0.0,
6,2023-01-01,Group stage,22,16,Stadion Feijenoord,2,0,1,0,0,100.0,0.0,0.0,0.0,100.0,20.0,50.0,0.0,50.0,0.2,0.5,1.4,0.0,,20.0,33.33,33.33,33.33,0.2,0.33,1.0,0.0,
7,2023-01-01,Group stage,5,191,Estadi Olímpic Lluís Companys,5,0,1,0,0,100.0,0.0,0.0,0.0,100.0,55.56,75.0,0.0,25.0,0.56,0.75,1.67,0.0,,20.0,33.33,0.0,66.67,0.2,0.33,1.2,0.0,
8,2023-01-01,Group stage,92,12,Volksparkstadion,1,3,0,0,1,40.0,40.0,20.0,0.0,60.0,60.0,100.0,0.0,0.0,0.6,1.0,1.8,0.0,,71.43,75.0,0.0,25.0,0.71,0.75,1.86,0.0,
9,2023-01-01,Group stage,1,470,Estadio Santiago Bernabéu,1,0,1,0,0,0.0,0.0,100.0,100.0,0.0,63.64,40.0,60.0,0.0,0.64,0.4,1.91,0.0,,0.0,0.0,0.0,100.0,0.0,0.0,1.2,0.0,
10,2023-01-01,Group stage,50,153,RAMS Park,2,2,0,1,0,100.0,0.0,0.0,33.33,66.67,20.0,0.0,50.0,50.0,0.2,0.0,1.6,0.0,,28.57,50.0,0.0,50.0,0.29,0.5,1.14,0.0,
11,2023-01-01,Group stage,308,90,Estádio Municipal de Braga,1,2,0,0,1,100.0,0.0,0.0,0.0,100.0,20.0,0.0,50.0,50.0,0.2,0.0,1.0,0.0,,28.57,25.0,50.0,25.0,0.29,0.25,1.43,0.0,
12,2023-01-01,Group stage,31,21,Emirates Stadium,4,0,1,0,0,40.0,60.0,0.0,20.0,20.0,33.33,50.0,25.0,25.0,0.33,0.5,1.67,0.0,,28.57,25.0,75.0,0.0,0.29,0.25,1.29,0.0,
13,2023-01-01,Group stage,10,184,Estádio do Sport Lisboa e Benfica,0,2,0,0,1,0.0,0.0,100.0,100.0,0.0,20.0,0.0,50.0,50.0,0.2,0.0,1.4,0.0,,0.0,0.0,0.0,100.0,0.0,0.0,0.4,0.0,
14,2023-01-01,Group stage,80,328,Estadio Ramón Sánchez Pizjuán,1,1,0,1,0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,1.2,0.0,,40.0,66.67,33.33,0.0,0.4,0.67,1.0,0.0,
