Temporada,idJugador,Jugador,Equipo,Edad,PJ,Titular,Mín,Gls.,Ass,TP,TPint,TA,TR,xG,npxG,PrgC,PrgP,PrgR,Valoracion
1992-01-01,1,Berry van Aerle,21,29.0,6,6,443.0,0,0.0,0.0,0.0,2,0,0.5357626443647886,0.48590203106331437,6.690561529271207,14.082039028275588,13.963560334528076,27.637221557120075
1992-01-01,2,Giorgos Agorogiannis,95,26.0,3,1,91.0,0,0.0,0.0,0.0,1,0,0.5357626443647886,0.48590203106331437,6.690561529271207,14.082039028275588,13.963560334528076,9.200040760388713
1992-01-01,3,Ernst Aigner,62,25.0,3,3,270.0,0,0.0,0.0,0.0,3,0,0.5357626443647886,0.48590203106331437,6.690561529271207,14.082039028275588,13.963560334528076,18.34202237428044
1992-01-01,4,Kadir Akbulut,94,32.0,2,2,135.0,0,0.0,0.0,0.0,0,0,0.5357626443647886,0.48590203106331437,6.690561529271207,14.082039028275588,13.963560334528076,11.294014202676763
1992-01-01,5,Flórián Albert Jr.,97,24.0,2,2,180.0,0,0.0,0.0,0.0,0,0,0.5357626443647886,0.48590203106331437,6.690561529271207,14.082039028275588,13.963560334528076,13.592277736895353
1992-01-01,6,Demetrio Albertini,2,20.0,7,7,581.0,1,0.0,0.0,0.0,1,1,0.5357626443647886,0.48590203106331437,6.690561529271207,14.082039028275588,13.963560334528076,35.093809912584824
1992-01-01,7,Alexis Alexandris,95,23.0,4,4,345.0,1,0.0,0.0,0.0,0,0,0.5357626443647886,0.48590203106331437,6.690561529271207,14.082039028275588,13.963560334528076,22.734259350787077
1992-01-01,8,Sefer Alibaev,429,24.0,1,1,20.0,0,0.0,0.0,0.0,0,0,0.5357626443647886,0.48590203106331437,6.690561529271207,14.082039028275588,13.963560334528076,5.267456490725792
1992-01-01,9,Daniel Amokachi,38,19.0,6,6,493.0,1,0.0,0.0,0.0,1,0,0.5357626443647886,0.48590203106331437,6.690561529271207,14.082039028275588,13.963560334528076,30.599427890112924
1992-01-01,10,Guillermo Amor,5,24.0,4,3,314.0,1,0.0,0.0,0.0,0,0,0.5357626443647886,0.48590203106331437,6.690561529271207,14.082039028275588,13.963560334528076,21.151011138325384
