idEntrenador,Temporada,Equipo,Nun,Non,División,Edad,PJ,PG,PE,PP,Non
1,1978-79,Aberdeen,,,,37,-,-,-,-,
1,1979-80,Aberdeen,,,,38,-,-,-,-,
1,1980-81,Aberdeen,,,,39,-,-,-,-,
1,1981-82,Aberdeen,,,,40,-,-,-,-,
1,1982-83,Aberdeen,,,,41,-,-,-,-,
1,1983-84,Aberdeen,,,,42,-,-,-,-,
1,1984-85,Aberdeen,,,,43,-,-,-,-,
1,1985-86,Aberdeen,,,,44,-,-,-,-,
1,1986-87,Aberdeen,,,,45,-,-,-,-,
1,1988-89,Manchester United,,,1ª,47,38,13,12,13,
1,1989-90,Manchester United,,,1ª,48,38,13,9,16,
1,1990-91,Manchester United,,,1ª,49,38,16,12,10,
1,1991-92,Manchester United,,,1ª,50,42,21,15,6,
1,1992-93,Manchester United,,,1ª,51,42,24,12,6,
1,1993-94,Manchester United,,,1ª,52,42,27,11,4,
1,1994-95,Manchester United,,,1ª,53,42,26,10,6,
1,1995-96,Manchester United,,,1ª,54,38,25,7,6,
1,1996-97,Manchester United,,,1ª,55,38,21,12,5,
1,1997-98,Manchester United,,,1ª,56,38,23,8,7,
1,1998-99,Manchester United,,,1ª,57,38,22,13,3,
1,1999-00,Manchester United,,,1ª,58,38,28,7,3,
1,2000-01,Manchester United,,,1ª,59,38,24,8,6,
1,2001-02,Manchester United,,,1ª,60,38,24,5,9,
1,2002-03,Manchester United,,,1ª,61,38,25,8,5,
1,2003-04,Manchester United,,,1ª,62,38,23,6,9,
1,2004-05,Manchester United,,,1ª,63,38,22,11,5,
1,2005-06,Manchester United,,,1ª,64,38,25,8,5,
1,2006-07,Manchester United,,,1ª,65,38,28,5,5,
1,2007-08,Manchester United,,,1ª,66,38,27,6,5,
1,2008-09,Manchester United,,,1ª,67,38,28,6,4,
1,2009-10,Manchester United,,,1ª,68,38,27,4,7,
1,2010-11,Manchester United,,,1ª,69,38,23,11,4,
1,2011-12,Manchester United,,,1ª,70,38,28,5,5,
1,2012-13,Manchester United,,,1ª,71,38,28,5,5,
2,1988-89,Monaco,,,,39,-,-,-,-,
2,1989-90,Monaco,,,,40,-,-,-,-,
2,1990-91,Monaco,,,,41,-,-,-,-,
2,1991-92,Monaco,,,,42,-,-,-,-,
2,1992-93,Monaco,,,,43,-,-,-,-,
