Equipo 1,Equipo 2,Temporada,goles_1,goles_2,goles_ida_1,goles_ida_2,goles_vuelta_2,goles_vuelta_1
36,29,23,1,8,1,1,0,7
0,52,23,1,7,0,2,1,5
13,32,23,2,6,2,5,0,1
14,7,23,1,0,1,0,0,0
5,3,23,0,5,0,2,0,3
21,51,23,1,2,1,0,0,2
4,44,23,1,0,1,0,0,0
22,45,23,0,3,0,1,0,2
2,45,22,2,8,1,1,1,7
37,29,22,0,5,0,5,0,0
52,53,22,3,2,2,2,1,0
51,1,22,4,1,2,0,2,1
46,8,22,2,1,1,1,1,0
43,10,22,4,1,1,1,3,0
4,13,22,1,2,0,2,1,0
22,32,22,2,3,1,0,1,3
12,29,21,0,4,0,2,0,2
23,45,21,2,6,1,4,1,2
46,51,21,0,3,0,1,0,2
36,13,21,0,4,0,2,0,2
44,10,21,4,4,2,1,2,3
31,22,21,2,5,1,4,1,1
6,21,21,4,5,2,3,2,2
40,32,21,1,4,0,1,1,3
21,22,20,2,3,2,1,0,2
32,29,20,2,4,1,2,1,2
40,50,20,8,4,4,1,4,3
46,13,20,4,2,1,0,3,2
51,45,20,1,7,0,3,1,4
15,10,20,2,2,1,0,1,2
7,36,20,0,4,0,1,0,3
3,31,20,2,4,1,1,1,3
17,29,19,2,10,2,3,0,7
46,10,19,2,3,2,0,0,3
8,22,19,3,3,0,2,3,1
7,21,19,4,0,3,0,1,0
15,31,19,1,5,0,0,1,5
39,44,19,3,4,2,1,1,3
53,32,19,5,3,1,2,4,1
13,45,19,3,1,0,0,3,1
10,24,18,4,3,2,2,1,2
28,29,18,2,5,0,4,1,2
19,13,18,0,5,0,5,0,0
32,49,18,5,2,3,1,1,2
51,31,18,1,4,1,1,3,0
16,38,18,8,1,5,0,1,3
6,8,18,2,1,0,0,1,2
9,39,18,2,2,2,1,1,0
22,31,17,5,6,4,0,6,1
52,21,17,1,4,1,0,4,0
32,3,17,6,2,3,1,1,3
45,30,17,10,2,5,1,1,5
29,48,17,6,6,5,3,3,1
47,46,17,2,4,2,4,0,0
6,11,17,2,3,2,1,2,0
44,10,17,0,3,0,2,1,0
39,32,16,0,4,0,2,2,0
33,34,16,2,4,2,3,1,0
22,51,16,4,2,2,1,1,2
52,18,16,3,1,1,0,1,2
30,31,16,1,5,0,2,3,1
10,45,16,4,6,2,2,4,2
26,29,16,1,3,1,3,0,0
35,46,16,0,0,0,0,0,0
22,51,15,3,3,1,1,2,2
27,45,15,0,7,0,0,7,0
28,44,15,1,5,1,1,4,0
17,32,15,4,5,0,2,3,4
29,31,15,1,3,1,2,1,0
10,21,15,5,1,2,1,0,3
30,48,15,3,3,1,3,0,2
47,46,15,1,1,1,0,1,0
29,31,14,1,4,0,2,2,1
47,22,14,1,6,0,4,2,1
30,45,14,1,3,0,2,1,1
14,46,14,1,5,0,1,4,1
18,21,14,4,5,2,4,1,2
20,8,14,2,3,2,0,3,0
42,51,14,1,3,1,1,2,0
17,32,14,2,9,1,6,3,1
41,10,13,0,5,0,3,2,0
50,22,13,2,3,1,2,1,1
27,21,13,2,5,2,2,3,0
32,8,13,3,2,1,1,1,2
44,25,13,1,2,1,0,2,0
30,45,13,3,3,1,3,0,2
42,17,13,4,3,1,1,2,3
14,31,13,2,4,2,0,4,0
