Temporada,Ronda,Wk,Dia,Fecha,Hora,Local,Resultado,Visitante,Público,Evento,Árbitro,Reporte,Notas
Temporada,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2023-2024,Group stage,1,Tue,2023-09-19,18:45,Milanit,0–0,engNewcastle Utd,"65,695",Stadio Giuseppe Meazza,José Sánchez,Match Report,
2023-2024,Group stage,1,Tue,2023-09-19,18:45,Young Boysch,1–3,deRB Leipzig,"31,500",Stadion Wankdorf,Enea Jorgji,Match Report,
2023-2024,Group stage,1,Tue,2023-09-19,20:00,Manchester Cityeng,3–1,rsRed Star,"50,204",Etihad Stadium,João Pinheiro,Match Report,
2023-2024,Group stage,1,Tue,2023-09-19,21:00,Paris S-Gfr,2–0,deDortmund,"47,379",Parc des Princes,Jesús Gil,Match Report,
2023-2024,Group stage,1,Tue,2023-09-19,21:00,Lazioit,1–1,esAtlético Madrid,"46,168",Stadio Olimpico,Slavko Vinčič,Match Report,
2023-2024,Group stage,1,Tue,2023-09-19,21:00,Feyenoordnl,2–0,sctCeltic,"44,008",Stadion Feijenoord,Irfan Peljto,Match Report,
2023-2024,Group stage,1,Tue,2023-09-19,21:00,Barcelonaes,5–0,beAntwerp,"40,989",Estadi Olímpic Lluís Companys,Radu Petrescu,Match Report,
2023-2024,Group stage,1,Tue,2023-09-19,22:00,Shakhtarua,1–3,ptPorto,"46,729",Volksparkstadion,Davide Massa,Match Report,
2023-2024,Group stage,1,Wed,2023-09-20,18:45,Real Madrides,1–0,deUnion Berlin,"65,207",Estadio Santiago Bernabéu,Espen Eskås,Match Report,
2023-2024,Group stage,1,Wed,2023-09-20,19:45,Galatasaraytr,2–2,dkFC Copenhagen,"46,911",RAMS Park,Georgi Kabakov,Match Report,
2023-2024,Group stage,1,Wed,2023-09-20,20:00,Bragapt,1–2,itNapoli,"18,422",Estádio Municipal de Braga,Serdar Gözübüyük,Match Report,
2023-2024,Group stage,1,Wed,2023-09-20,20:00,Arsenaleng,4–0,nlPSV Eindhoven,"58,860",Emirates Stadium,Felix Zwayer,Match Report,
2023-2024,Group stage,1,Wed,2023-09-20,20:00,Benficapt,0–2,atRB Salzburg,"60,917",Estádio do Sport Lisboa e Benfica,Halil Umut Meler,Match Report,
2023-2024,Group stage,1,Wed,2023-09-20,21:00,Sevillaes,1–1,frLens,"33,544",Estadio Ramón Sánchez Pizjuán,Tobias Stieler,Match Report,
2023-2024,Group stage,1,Wed,2023-09-20,21:00,Bayern Munichde,4–3,engManchester Utd,"75,000",Trainingsgelände Allianz Arena,Glenn Nyberg,Match Report,
2023-2024,Group stage,1,Wed,2023-09-20,21:00,Real Sociedades,1–1,itInter,"36,591",Reale Arena,Michael Oliver,Match Report,
2023-2024,,,,,,,,,,,,,
2023-2024,Group stage,2,Tue,2023-10-03,18:45,RB Salzburgat,0–2,esReal Sociedad,"28,227",Red Bull Arena,Bartosz Frankowski,Match Report,
2023-2024,Group stage,2,Tue,2023-10-03,18:45,Union Berlinde,2–3,ptBraga,"73,445",Olympiastadion Berlin,Srđan Jovanović,Match Report,
2023-2024,Group stage,2,Tue,2023-10-03,20:00,Manchester Utdeng,2–3,trGalatasaray,"73,204",Old Trafford,Ivan Kružliak,Match Report,
2023-2024,Group stage,2,Tue,2023-10-03,21:00,PSV Eindhovennl,2–2,esSevilla,"34,206",Philips Stadion,Daniele Orsato,Match Report,
2023-2024,Group stage,2,Tue,2023-10-03,21:00,Interit,1–0,ptBenfica,"66,573",Stadio Giuseppe Meazza,Danny Makkelie,Match Report,
2023-2024,Group stage,2,Tue,2023-10-03,21:00,FC Copenhagendk,1–2,deBayern Munich,"35,690",Parken,Orel Grinfeeld,Match Report,
2023-2024,Group stage,2,Tue,2023-10-03,21:00,Napoliit,2–3,esReal Madrid,"51,649",Stadio Diego Armando Maradona,Clément Turpin,Match Report,
2023-2024,Group stage,2,Tue,2023-10-03,21:00,Lensfr,2–1,engArsenal,"37,040",Stade Bollaert-Delelis,Marco Guida,Match Report,
2023-2024,Group stage,2,Wed,2023-10-04,18:45,Atlético Madrides,3–2,nlFeyenoord,"61,742",Estadio Cívitas Metropolitano,François Letexier,Match Report,
2023-2024,Group stage,2,Wed,2023-10-04,18:45,Antwerpbe,2–3,uaShakhtar,"13,509",Bosuilstadion,Rade Obrenović,Match Report,
2023-2024,Group stage,2,Wed,2023-10-04,20:00,Newcastle Utdeng,4–1,frParis S-G,"52,009",St James' Park,István Kovács,Match Report,
2023-2024,Group stage,2,Wed,2023-10-04,20:00,Portopt,0–1,esBarcelona,"49,722",Estádio Do Dragão,Anthony Taylor,Match Report,
2023-2024,Group stage,2,Wed,2023-10-04,20:00,Celticsct,1–2,itLazio,"56,063",Celtic Park,Donatas Rumšas,Match Report,
2023-2024,Group stage,2,Wed,2023-10-04,21:00,RB Leipzigde,1–3,engManchester City,"45,228",Red Bull Arena,Artur Soares Dias,Match Report,
2023-2024,Group stage,2,Wed,2023-10-04,21:00,Dortmundde,0–0,itMilan,"81,365",Signal Iduna Park,Szymon Marciniak,Match Report,
2023-2024,Group stage,2,Wed,2023-10-04,21:00,Red Starrs,2–2,chYoung Boys,"47,201",Stadion Rajko Mitić,William Collum,Match Report,
2023-2024,,,,,,,,,,,,,
2023-2024,Group stage,3,Tue,2023-10-24,18:45,Interit,2–1,atRB Salzburg,"71,825",Stadio Giuseppe Meazza,François Letexier,Match Report,
2023-2024,Group stage,3,Tue,2023-10-24,19:45,Galatasaraytr,1–3,deBayern Munich,"51,776",RAMS Park,Davide Massa,Match Report,
2023-2024,Group stage,3,Tue,2023-10-24,20:00,Manchester Utdeng,1–0,dkFC Copenhagen,"73,249",Old Trafford,Marco Guida,Match Report,
2023-2024,Group stage,3,Tue,2023-10-24,20:00,Benficapt,0–1,esReal Sociedad,"56,002",Estádio do Sport Lisboa e Benfica,Clément Turpin,Match Report,
2023-2024,Group stage,3,Tue,2023-10-24,20:00,Bragapt,1–2,esReal Madrid,"29,820",Estádio Municipal de Braga,Michael Oliver,Match Report,
2023-2024,Group stage,3,Tue,2023-10-24,21:00,Sevillaes,1–2,engArsenal,"39,595",Estadio Ramón Sánchez Pizjuán,Glenn Nyberg,Match Report,
2023-2024,Group stage,3,Tue,2023-10-24,21:00,Lensfr,1–1,nlPSV Eindhoven,"38,133",Stade Bollaert-Delelis,Radu Petrescu,Match Report,
2023-2024,Group stage,3,Tue,2023-10-24,21:00,Union Berlinde,0–1,itNapoli,"72,062",Olympiastadion Berlin,Irfan Peljto,Match Report,
2023-2024,Group stage,3,Wed,2023-10-25,18:45,Barcelonaes,2–1,uaShakhtar,"41,409",Estadi Olímpic Lluís Companys,Ivan Kružliak,Match Report,
2023-2024,Group stage,3,Wed,2023-10-25,18:45,Feyenoordnl,3–1,itLazio,"44,031",Stadion Feijenoord,Tobias Stieler,Match Report,
2023-2024,Group stage,3,Wed,2023-10-25,20:00,Celticsct,2–2,esAtlético Madrid,"55,844",Celtic Park,Felix Zwayer,Match Report,
2023-2024,Group stage,3,Wed,2023-10-25,20:00,Newcastle Utdeng,0–1,deDortmund,"52,024",St James' Park,Artur Soares Dias,Match Report,
