idPartido,Temporada,Ronda,Local,Visitante,Evento,GolesLocal,GolesVisitante,VictoriaLocal,Empate,VictoriaVisitante,%_Victorias_Local,%_Empate,%_Victoria_Visitante,%_Equipo1_Ganado,%_Equipo2_Ganado,%_1_G_Temporada,%_1_G_Temporada_L,%_1_E_Temporada_L,%_1_P_Temporada_L,1_Media_G,1_Media_G_Local,1_Media_Goles_PP,1_ValorJugadores,1_MediaJugadores,%_2_G_Temporada,%_2_G_Temporada_L,%_2_E_Temporada_L,%_2_P_Temporada_L,2_Media_G,2_Media_G_Local,2_Media_Goles_PP,2_ValorJugadores,2_MediaJugadores
1,2023-01-01,Group stage,2,307,Stadio Giuseppe Meazza,0,0,0,1,0,0.0,0.0,100.0,100.0,0.0,40.0,50.0,0.0,50.0,0.4,0.5,1.0,377.7323799795709,16.42314695563352,20.0,33.33,0.0,66.67,0.2,0.33,1.2,385.64862104187944,16.76733134964693
2,2023-01-01,Group stage,67,68,Stadion Wankdorf,1,3,0,0,1,100.0,0.0,0.0,0.0,100.0,20.0,50.0,0.0,50.0,0.2,0.5,1.2,357.5076608784474,15.54381134254119,42.86,50.0,0.0,50.0,0.43,0.5,1.57,497.8038815117466,21.643647022249855
3,2023-01-01,Group stage,15,20,Etihad Stadium,3,1,1,0,0,0.0,0.0,100.0,100.0,0.0,77.78,75.0,0.0,25.0,0.78,0.75,2.78,748.7742594484166,29.950970377936663,0.0,0.0,33.33,66.67,0.0,0.0,1.2,374.8212461695607,17.03732937134367
4,2023-01-01,Group stage,28,14,Parc des Princes,2,0,1,0,0,40.0,60.0,0.0,20.0,20.0,36.36,40.0,40.0,20.0,0.36,0.4,1.55,698.6210418794687,33.267668660927086,45.45,50.0,50.0,0.0,0.45,0.5,1.36,642.4923391215527,27.934449527024032
5,2023-01-01,Group stage,99,24,Stadio Olimpico,1,1,0,1,0,100.0,0.0,0.0,0.0,100.0,57.14,100.0,0.0,0.0,0.57,1.0,1.0,524.1573033707865,24.959871589085072,55.56,80.0,0.0,20.0,0.56,0.8,2.44,677.9366700715015,30.815303185068252
6,2023-01-01,Group stage,22,16,Stadion Feijenoord,2,0,1,0,0,100.0,0.0,0.0,0.0,100.0,20.0,50.0,0.0,50.0,0.2,0.5,1.4,412.00204290091926,17.166751787538303,20.0,33.33,33.33,33.33,0.2,0.33,1.0,377.1195097037794,16.39650042190345
7,2023-01-01,Group stage,5,191,Estadi Olímpic Lluís Companys,5,0,1,0,0,100.0,0.0,0.0,0.0,100.0,55.56,75.0,0.0,25.0,0.56,0.75,1.67,676.8130745658835,27.072522982635345,20.0,33.33,0.0,66.67,0.2,0.33,1.2,371.4504596527068,18.57252298263534
8,2023-01-01,Group stage,92,12,Volksparkstadion,1,3,0,0,1,40.0,40.0,20.0,0.0,60.0,60.0,100.0,0.0,0.0,0.6,1.0,1.8,364.0960163432073,17.33790554015273,71.43,75.0,0.0,25.0,0.71,0.75,1.86,533.2482124616955,21.329928498467822
9,2023-01-01,Group stage,1,470,Estadio Santiago Bernabéu,1,0,1,0,0,0.0,0.0,100.0,100.0,0.0,63.64,40.0,60.0,0.0,0.64,0.4,1.91,685.4443309499487,31.156560497724943,0.0,0.0,0.0,100.0,0.0,0.0,1.2,367.1603677221654,17.48382703438883
10,2023-01-01,Group stage,50,153,RAMS Park,2,2,0,1,0,100.0,0.0,0.0,33.33,66.67,20.0,0.0,50.0,50.0,0.2,0.0,1.6,402.34933605720124,20.117466802860058,28.57,50.0,0.0,50.0,0.29,0.5,1.14,483.9121552604699,20.16300646918624
11,2023-01-01,Group stage,308,90,Estádio Municipal de Braga,1,2,0,0,1,100.0,0.0,0.0,0.0,100.0,20.0,0.0,50.0,50.0,0.2,0.0,1.0,397.6506639427987,17.289159301860813,28.57,25.0,50.0,25.0,0.29,0.25,1.43,531.4606741573034,23.10698583292623
12,2023-01-01,Group stage,31,21,Emirates Stadium,4,0,1,0,0,40.0,60.0,0.0,20.0,20.0,33.33,50.0,25.0,25.0,0.33,0.5,1.67,688.3043922369765,29.92627792334681,28.57,25.0,75.0,0.0,0.29,0.25,1.29,528.3963227783452,24.018014671742968
13,2023-01-01,Group stage,10,184,Estádio do Sport Lisboa e Benfica,0,2,0,0,1,0.0,0.0,100.0,100.0,0.0,20.0,0.0,50.0,50.0,0.2,0.0,1.4,376.7620020429009,17.125545547404585,0.0,0.0,0.0,100.0,0.0,0.0,0.4,377.22165474974463,16.400941510858463
14,2023-01-01,Group stage,80,328,Estadio Ramón Sánchez Pizjuán,1,1,0,1,0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,1.2,368.99897854954037,15.374957439564179,40.0,66.67,33.33,0.0,0.4,0.67,1.0,373.13585291113367,18.65679264555669
15,2023-01-01,Group stage,3,8,Trainingsgelände Allianz Arena,4,3,1,0,0,60.0,20.0,20.0,60.0,20.0,54.55,60.0,40.0,0.0,0.55,0.6,1.27,675.2298263534217,29.35781853710529,20.0,33.33,0.0,66.67,0.2,0.33,1.8,380.7456588355464,15.864402451481105
