idEntrenador,Temporada,Equipo,PJ,PG,PE,PP
1,1986-87,8,29,11,10,8
1,1987-88,8,40,23,12,5
1,1988-89,8,38,13,12,13
1,1989-90,8,38,13,9,16
1,1990-91,8,38,16,12,10
1,1991-92,8,42,21,15,6
1,1992-93,8,42,24,12,6
1,1993-94,8,42,27,11,4
1,1994-95,8,42,26,10,6
1,1995-96,8,38,25,7,6
1,1996-97,8,38,21,12,5
1,1997-98,8,38,23,8,7
1,1998-99,8,38,22,13,3
1,1999-00,8,38,28,7,3
1,2000-01,8,38,24,8,6
1,2001-02,8,38,24,5,9
1,2002-03,8,38,25,8,5
1,2003-04,8,38,23,6,9
1,2004-05,8,38,22,11,5
1,2005-06,8,38,25,8,5
1,2006-07,8,38,28,5,5
1,2007-08,8,38,27,6,5
1,2008-09,8,38,28,6,4
1,2009-10,8,38,27,4,7
1,2010-11,8,38,23,11,4
1,2011-12,8,38,28,5,5
1,2012-13,8,38,28,5,5
2,1994-95,28,8,2,1,5
2,1996-97,31,30,14,9,7
2,1997-98,31,38,23,9,6
2,1998-99,31,38,22,12,4
2,1999-00,31,38,22,7,9
2,2000-01,31,38,20,10,8
2,2001-02,31,38,26,9,3
2,2002-03,31,38,23,9,6
2,2003-04,31,38,26,12,0
2,2004-05,31,38,25,8,5
2,2005-06,31,38,20,7,11
2,2006-07,31,38,19,11,8
2,2007-08,31,38,24,11,3
2,2008-09,31,38,20,12,6
2,2009-10,31,38,23,6,9
2,2010-11,31,38,19,11,8
2,2011-12,31,38,21,7,10
2,2012-13,31,38,21,10,7
2,2013-14,31,38,24,7,7
2,2014-15,31,38,22,9,7
2,2015-16,31,38,20,11,7
2,2016-17,31,38,23,6,9
2,2017-18,31,38,19,6,13
3,1996-97,333,34,18,9,7
3,1997-98,333,34,15,12,7
3,1998-99,9,14,8,3,3
3,1999-00,9,34,21,8,5
3,2000-01,9,34,21,10,3
3,2001-02,2,25,10,10,5
3,2002-03,2,34,18,7,9
3,2003-04,2,34,25,7,2
3,2004-05,2,38,23,10,5
3,2005-06,2,38,28,4,6
3,2006-07,2,38,19,12,7
3,2007-08,2,38,18,10,10
3,2008-09,2,38,22,8,8
3,2009-10,11,38,27,5,6
3,2010-11,11,38,21,8,9
3,2011-12,0,19,11,6,2
3,2012-13,0,38,25,8,5
3,2013-14,1,38,27,6,5
3,2014-15,1,38,30,2,6
3,2016-17,3,34,25,7,2
3,2017-18,3,6,4,1,1
3,2018-19,90,38,24,7,7
3,2019-20,90,15,5,6,4
3,2019-20,120,20,8,6,6
3,2020-21,120,38,17,8,13
3,2021-22,1,38,26,8,4
3,2022-23,1,38,24,6,8
3,2023-24,1,34,27,6,1
4,2008-09,5,38,27,6,5
4,2009-10,5,38,31,6,1
4,2010-11,5,38,30,6,2
4,2011-12,5,38,28,7,3
4,2013-14,3,34,29,3,2
4,2014-15,3,34,25,4,5
4,2015-16,3,34,28,4,2
4,2016-17,15,38,23,9,6
4,2017-18,15,38,32,4,2
4,2018-19,15,38,32,2,4
4,2019-20,15,38,26,3,9
4,2020-21,15,38,27,5,6
4,2021-22,15,38,29,6,3
4,2022-23,15,38,28,5,5
4,2023-24,15,34,24,7,3
5,1990-91,0,34,8,6,20
5,1992-93,0,34,9,12,13
5,1994-95,0,20,2,6,12
5,1996-97,0,10,0,4,6
5,1998-99,7,15,5,4,6
6,2000-01,10,9,5,2,2
6,2001-02,0,19,9,7,3
6,2001-02,12,15,11,2,2
6,2002-03,12,34,27,5,2
6,2003-04,12,34,25,7,2
6,2004-05,11,38,29,8,1
6,2005-06,11,38,29,4,5
6,2006-07,11,38,24,11,3
6,2007-08,11,6,3,2,1
6,2008-09,7,38,25,9,4
6,2009-10,7,38,24,10,4
6,2010-11,1,38,29,5,4
6,2011-12,1,38,32,4,2
6,2012-13,1,38,26,7,5
6,2013-14,11,38,25,7,6
6,2014-15,11,38,26,9,3
6,2015-16,11,16,4,3,9
6,2016-17,8,38,18,15,5
6,2017-18,8,38,25,6,7
6,2018-19,8,17,7,5,5
6,2019-20,33,26,13,6,7
6,2020-21,33,32,14,8,10
6,2021-22,0,38,18,9,11
6,2022-23,0,38,18,9,11
6,2023-24,0,20,8,5,7
