idEquipo,Nombre,Pais,T,PJ,PG,PE,PP,%,Títulos,F,1/2,1/4,1/8,1/16,GF,GC,TA,TR
1,Real Madrid,España,54,487,292,85,110,59%17%24%,14,3,16,6,14,1,1071,535,612,25
2,Milan,Italia,31,273,133,70,70,48%25%27%,7,4,3,4,7,1,442,261,419,15
3,Bayern München,Alemania,40,393,236,79,78,60%20%20%,6,5,10,13,4,1,824,384,575,25
4,Liverpool,Inglaterra,27,248,142,50,56,57%20%23%,6,4,2,5,5,2,472,228,249,6
5,Barcelona,España,34,349,203,77,69,58%22%20%,5,3,9,8,3,0,687,357,543,18
6,Ajax,Países Bajos,39,247,112,64,71,45%25%30%,4,2,3,4,4,5,396,282,345,13
7,Inter,Italia,25,213,102,57,54,47%26%27%,3,3,3,4,6,1,300,211,353,22
8,Manchester United,Inglaterra,31,299,161,70,68,53%23%24%,3,2,7,7,5,0,545,299,374,20
9,Juventus,Italia,37,301,153,70,78,50%23%27%,2,7,3,7,9,4,479,301,506,28
10,Benfica,Portugal,43,292,130,68,94,44%23%33%,2,5,1,11,7,2,479,345,374,19
11,Chelsea,Inglaterra,19,201,104,53,44,51%26%23%,2,1,5,4,6,0,342,181,347,14
12,Porto,Portugal,38,277,126,61,90,45%22%33%,2,0,1,7,13,3,411,313,511,26
13,Nottingham Forest,Inglaterra,3,20,12,4,4,60%20%20%,2,0,0,0,0,1,32,14,17,0
14,Borussia Dortmund,Alemania,22,181,87,36,58,48%19%33%,1,1,3,5,5,0,303,223,243,9
15,Manchester City,Inglaterra,14,129,74,26,29,57%20%23%,1,1,2,4,3,1,273,144,219,12
16,Celtic,Escocia,38,228,102,40,86,44%17%39%,1,1,2,3,8,3,342,285,286,12
17,Olympique de Marseille,Francia,17,116,47,19,50,40%16%44%,1,1,1,1,2,1,165,141,175,13
18,FCSB,Rumanía,26,145,52,41,52,35%28%37%,1,1,1,0,3,3,203,204,293,15
19,Hamburger,Alemania,6,43,19,9,15,44%20%36%,1,1,1,0,1,0,72,56,46,4
20,Crvena Zvezda,Serbia,29,157,70,34,53,44%21%35%,1,0,2,5,5,3,285,218,245,12
21,PSV,Países Bajos,31,199,74,49,76,37%24%39%,1,0,2,4,6,1,272,252,288,17
22,Feyenoord,Países Bajos,18,95,36,23,36,37%24%39%,1,0,1,1,2,3,156,126,130,10
23,Aston Villa,Inglaterra,2,15,9,3,3,60%20%20%,1,0,0,1,0,0,24,10,6,0
24,Atlético de Madrid,España,19,170,82,44,44,48%25%27%,0,3,3,6,4,0,249,165,317,18
25,Valencia,España,13,128,57,35,36,44%27%29%,0,2,0,2,4,0,191,130,260,11
26,Stade de Reims,Francia,4,24,14,3,7,58%12%30%,0,2,0,1,1,0,63,30,0,1
27,PSG,Francia,17,154,82,29,43,53%18%29%,0,1,3,4,5,1,302,180,314,13
28,Monaco,Francia,18,118,46,24,48,38%20%42%,0,1,3,2,2,3,185,159,205,13
29,Panathinaikos,Grecia,29,163,51,46,66,31%28%41%,0,1,2,1,5,6,190,222,250,13
30,Leeds,Inglaterra,4,40,22,6,12,55%15%30%,0,1,2,0,0,0,76,41,42,5
31,Arsenal,Inglaterra,22,211,106,45,60,50%21%29%,0,1,1,6,9,0,351,226,340,20
32,Roma,Italia,13,111,41,27,43,36%24%40%,0,1,1,2,4,0,148,161,193,11
33,Tottenham,Inglaterra,7,63,28,13,22,44%20%36%,0,1,1,1,3,0,116,90,89,6
34,Borussia Mönchengladbach,Alemania,9,55,22,16,17,40%29%31%,0,1,1,1,3,0,110,74,48,2
35,Saint-Étienne,Francia,10,41,19,7,15,46%17%37%,0,1,1,1,2,4,50,44,10,2
36,Partizan,Serbia,22,105,41,24,40,39%22%39%,0,1,0,2,2,3,161,133,141,11
37,Bayer Leverkusen,Alemania,13,117,43,26,48,36%22%42%,0,1,0,1,5,0,171,180,245,11
38,Brugge,Bélgica,23,127,43,30,54,33%23%44%,0,1,0,1,4,2,157,186,209,12
39,Fiorentina,Italia,5,45,21,15,9,46%33%21%,0,1,0,1,1,0,63,49,73,3
40,Malmö,Suecia,19,95,33,23,39,34%24%42%,0,1,0,0,3,7,103,148,149,11
41,Eintracht Frankfurt,Alemania,2,15,7,3,5,46%20%34%,0,1,0,0,1,0,30,28,17,2
42,Sampdoria,Italia,2,13,7,2,4,53%15%32%,0,1,0,0,0,0,25,15,23,1
43,Dynamo Kyiv,Ucrania,39,255,105,55,95,41%21%38%,0,0,3,5,4,1,353,315,371,18
44,Anderlecht,Bélgica,34,200,70,44,86,35%22%43%,0,0,2,5,6,2,282,320,239,15
45,CSKA Sofia,Bulgaria,25,98,41,16,41,41%16%43%,0,0,2,4,8,7,140,144,71,8
46,Olympique Lyonnais,Francia,18,148,65,37,46,43%25%32%,0,0,2,3,6,0,232,178,266,10
47,Villarreal,España,5,46,14,15,17,30%32%38%,0,0,2,1,0,0,51,56,108,6
48,Zürich,Suiza,12,47,17,6,24,36%12%52%,0,0,2,0,0,5,60,82,52,2
49,Rangers,Escocia,33,177,65,43,69,36%24%40%,0,0,1,4,5,3,248,257,250,16
50,Galatasaray,Turquía,28,189,63,46,80,33%24%43%,0,0,1,4,2,5,237,297,348,19
51,Rapid Wien,Austria,18,81,35,9,37,43%11%46%,0,0,1,3,5,2,130,122,65,4
52,Dukla Praha,República Checa,10,45,22,10,13,48%22%30%,0,0,1,3,4,2,75,58,8,0
53,Standard Liège,Bélgica,14,58,25,10,23,43%17%40%,0,0,1,3,3,1,87,73,55,6
54,Göteborg,Suecia,15,82,35,13,34,42%15%43%,0,0,1,3,2,3,138,119,64,6
55,Schalke 04,Alemania,10,77,31,18,28,40%23%37%,0,0,1,2,4,0,109,117,157,5
56,Újpest,Hungría,11,44,18,8,18,40%18%42%,0,0,1,2,3,4,70,72,39,5
57,Spartak Moskva,Rusia,21,124,40,31,53,32%25%43%,0,0,1,2,1,1,173,193,206,15
58,Spartak Trnava,Eslovaquia,6,30,15,9,6,50%30%20%,0,0,1,2,1,1,50,25,27,2
59,Legia Warszawa,Polonia,15,76,37,15,24,48%19%33%,0,0,1,2,0,2,106,91,103,8
60,Girondins de Bordeaux,Francia,7,50,21,16,13,42%32%26%,0,0,1,2,0,1,54,54,62,6
61,Deportivo de La Coruña,España,5,62,25,17,20,40%27%33%,0,0,1,2,0,0,78,79,92,4
62,Austria Wien,Austria,19,73,25,16,32,34%21%45%,0,0,1,1,5,6,100,110,103,5
63,Vasas,Hungría,6,27,12,6,9,44%22%34%,0,0,1,1,2,2,62,34,2,1
64,Köln,Alemania,3,17,7,8,2,41%47%12%,0,0,1,1,0,1,27,19,4,0
65,Dinamo București,Rumanía,18,66,24,10,32,36%15%49%,0,0,1,0,9,3,96,106,61,7
66,Nantes,Francia,8,40,12,14,14,30%35%35%,0,0,1,0,3,3,52,54,55,5
67,Young Boys,Suiza,15,65,21,17,27,32%26%42%,0,0,1,0,3,1,87,122,108,7
68,RB Leipzig,Alemania,6,46,22,6,18,47%13%40%,0,0,1,0,3,0,80,82,89,2
69,Real Sociedad,España,5,34,11,9,14,32%26%42%,0,0,1,0,2,1,32,35,57,1
70,Győr,Hungría,4,16,7,1,8,43%6%51%,0,0,1,0,1,1,28,34,15,1
71,Derby County,Inglaterra,2,12,6,2,4,50%16%34%,0,0,1,0,1,0,18,12,7,1
72,Widzew Łódź,Polonia,5,26,9,2,15,34%7%59%,0,0,1,0,0,1,48,51,49,2
73,Dundee United,Escocia,1,8,5,1,2,62%12%26%,0,0,1,0,0,0,14,5,4,0
74,Dundee,Escocia,1,8,5,0,3,62%38%,0,0,1,0,0,0,20,14,0,1
75,Hibernian,Escocia,1,6,3,1,2,50%16%34%,0,0,1,0,0,0,9,5,0,0
76,Sparta Praha,República Checa,29,148,54,32,62,36%21%43%,0,0,0,3,3,3,193,206,190,14
77,Dynamo Dresden,Alemania,7,30,12,6,12,40%20%40%,0,0,0,3,2,2,48,44,28,1
78,Hajduk Split,Croacia,10,40,18,10,12,45%25%30%,0,0,0,3,1,1,58,47,72,5
79,Dynamo Berlin,Alemania,10,38,15,8,15,39%21%40%,0,0,0,2,4,4,54,52,43,1
80,Sevilla,España,11,78,30,21,27,38%26%36%,0,0,0,2,4,0,117,115,143,9
81,Grasshopper,Suiza,15,54,15,11,28,27%20%53%,0,0,0,2,2,3,80,85,77,4
82,Nice,Francia,3,18,7,4,7,38%22%40%,0,0,0,2,0,0,32,32,8,4
83,Dnipro,Ucrania,3,14,5,4,5,35%28%37%,0,0,0,2,0,0,15,15,20,2
84,Wiener SC,Austria,2,12,4,4,4,33%33%34%,0,0,0,2,0,0,21,18,0,0
85,Olympiacos,Grecia,35,186,66,36,84,35%19%46%,0,0,0,1,6,8,222,283,372,17
86,Górnik Zabrze,Polonia,12,43,20,6,17,46%13%41%,0,0,0,1,6,5,69,65,16,0
87,Sporting de Portugal,Portugal,23,106,31,22,53,29%20%51%,0,0,0,1,6,4,140,178,177,16
88,Fenerbahçe,Turquía,27,107,32,21,54,29%19%52%,0,0,0,1,5,7,120,179,186,17
89,Basel,Suiza,21,118,47,23,48,39%19%42%,0,0,0,1,5,4,170,192,198,7
90,Napoli,Italia,11,70,32,18,20,45%25%30%,0,0,0,1,5,1,118,86,126,3
91,AGF,Dinamarca,5,18,6,4,8,33%22%45%,0,0,0,1,3,1,22,25,5,0
92,Shakhtar Donetsk,Ucrania,24,158,61,36,61,38%22%40%,0,0,0,1,3,0,224,243,331,16
93,Werder Bremen,Alemania,9,66,27,14,25,40%21%39%,0,0,0,1,3,0,109,107,116,8
94,Beşiktaş,Turquía,21,89,27,19,43,30%21%49%,0,0,0,1,2,5,89,153,155,8
95,AEK,Grecia,17,78,19,23,36,24%29%47%,0,0,0,1,2,3,84,124,128,12
96,Vorwärts Berlin,Alemania,6,22,9,1,12,40%4%56%,0,0,0,1,2,3,35,33,0,0
97,Ferencváros,Hungría,16,71,26,19,26,36%26%38%,0,0,0,1,2,2,111,120,134,5
98,CSKA Moskva,Rusia,15,104,34,24,46,32%23%45%,0,0,0,1,2,0,125,155,192,9
99,Lazio,Italia,8,68,28,17,23,41%25%34%,0,0,0,1,2,0,101,87,158,7
100,Baník Ostrava,República Checa,4,16,6,3,7,37%18%45%,0,0,0,1,2,0,20,29,8,0
101,Wismut Aue,Alemania,3,16,5,4,7,31%25%44%,0,0,0,1,2,0,26,23,0,0
102,Linfield,Irlanda del Norte,32,78,11,23,44,14%29%57%,0,0,0,1,1,14,66,139,104,6
103,Rosenborg,Noruega,25,152,58,31,63,38%20%42%,0,0,0,1,1,4,224,232,165,4
104,Ruch Chorzów,Polonia,4,14,5,4,5,35%28%37%,0,0,0,1,1,2,20,25,9,0
105,Athletic Club,España,5,28,10,8,10,35%28%37%,0,0,0,1,1,1,38,36,40,1
106,MTK Budapest,Hungría,7,24,10,2,12,41%8%51%,0,0,0,1,1,1,41,46,28,3
107,Aberdeen,Escocia,3,12,5,4,3,41%33%26%,0,0,0,1,1,1,14,12,5,0
108,Atalanta,Italia,3,23,8,6,9,34%26%40%,0,0,0,1,1,0,40,43,45,1
109,Wolverhampton,Inglaterra,2,8,2,2,4,25%25%50%,0,0,0,1,1,0,12,16,0,0
110,APOEL,Chipre,18,94,29,25,40,30%26%44%,0,0,0,1,0,5,99,122,186,7
111,SSW Innsbruck,Austria,5,14,3,1,10,21%7%72%,0,0,0,1,0,4,13,28,13,0
112,Kuusysi,Finlandia,5,14,5,1,8,35%7%58%,0,0,0,1,0,3,12,25,11,0
113,Brøndby,Dinamarca,12,44,15,8,21,34%18%48%,0,0,0,1,0,2,56,67,61,3
114,Djurgården,Suecia,7,17,4,5,8,23%29%48%,0,0,0,1,0,2,17,30,9,1
115,Universitatea Craiova,Rumanía,3,10,3,2,5,30%20%50%,0,0,0,1,0,2,12,14,15,0
116,Vojvodina,Serbia,2,9,5,1,3,55%11%34%,0,0,0,1,0,1,10,9,3,2
117,Nürnberg,Alemania,2,8,5,1,2,62%12%26%,0,0,0,1,0,1,16,14,0,0
118,Carl Zeiss Jena,Alemania,2,8,5,0,3,62%38%,0,0,0,1,0,1,12,11,0,1
119,Åtvidabergs,Suecia,2,8,4,0,4,50%50%,0,0,0,1,0,1,12,12,3,0
120,Everton,Inglaterra,3,10,2,5,3,20%50%30%,0,0,0,1,0,1,14,10,3,0
121,Wisła Kraków,Polonia,8,32,15,4,13,46%12%42%,0,0,0,1,0,0,58,50,59,3
122,Wolfsburg,Alemania,3,22,10,3,9,45%13%42%,0,0,0,1,0,0,29,29,44,3
123,Auxerre,Francia,3,24,9,2,13,37%8%55%,0,0,0,1,0,0,19,31,42,4
124,Kaiserslautern,Alemania,2,12,6,2,4,50%16%34%,0,0,0,1,0,0,18,16,18,2
125,Málaga,España,1,12,5,5,2,41%41%18%,0,0,0,1,0,0,18,9,29,0
126,Leicester,Inglaterra,1,10,5,2,3,50%20%30%,0,0,0,1,0,0,11,10,19,0
127,Ararat Yerevan,Armenia,1,6,5,0,1,83%17%,0,0,0,1,0,0,14,5,5,0
128,DWS,Países Bajos,1,6,4,1,1,66%16%18%,0,0,0,1,0,0,13,4,0,0
129,Dinamo Minsk,Bielorrusia,4,12,3,5,4,25%41%34%,0,0,0,1,0,0,18,18,14,0
130,IFK Malmö,Suecia,1,6,3,1,2,50%16%34%,0,0,0,1,0,0,7,7,0,0
131,Strasbourg,Francia,1,6,3,1,2,50%16%34%,0,0,0,1,0,0,8,6,3,0
132,Sparta Rotterdam,Países Bajos,1,6,3,0,3,50%50%,0,0,0,1,0,0,12,11,0,0
133,KV Mechelen,Bélgica,1,6,2,3,1,33%50%17%,0,0,0,1,0,0,9,3,4,1
134,Eintracht Braunschweig,Alemania,1,5,2,0,3,40%60%,0,0,0,1,0,0,5,5,0,0
135,Burnley,Inglaterra,1,4,2,0,2,50%50%,0,0,0,1,0,0,8,8,0,0
136,Hradec Králové,República Checa,1,4,1,2,1,25%50%25%,0,0,0,1,0,0,2,5,0,0
137,Omonia,Chipre,20,55,17,8,30,30%14%56%,0,0,0,0,4,10,65,112,62,2
138,Budapest Honvéd,Hungría,10,30,12,3,15,40%10%50%,0,0,0,0,4,3,47,54,37,3
139,Servette,Suiza,8,25,6,9,10,24%36%40%,0,0,0,0,4,1,37,45,31,2
140,Zenit,Rusia,11,76,30,15,31,39%19%42%,0,0,0,0,4,0,98,96,162,14
141,Norrköping,Suecia,5,14,3,5,6,21%35%44%,0,0,0,0,4,0,18,25,4,0
142,Levski Sofia,Bulgaria,15,58,15,14,29,25%24%51%,0,0,0,0,3,3,74,82,87,4
143,Jeunesse d'Esch,Luxemburgo,22,49,7,4,38,14%8%78%,0,0,0,0,2,15,43,158,32,0
144,Helsinki,Finlandia,23,84,31,14,39,36%16%48%,0,0,0,0,2,5,108,130,100,5
145,Glentoran,Irlanda del Norte,12,28,3,7,18,10%25%65%,0,0,0,0,2,5,20,59,36,2
146,Tirana,Albania,15,40,8,4,28,20%10%70%,0,0,0,0,2,4,37,65,61,2
147,Slovan Bratislava,Eslovaquia,15,51,18,13,20,35%25%40%,0,0,0,0,2,2,58,69,85,6
148,Lillestrøm,Noruega,5,14,3,5,6,21%35%44%,0,0,0,0,2,2,10,17,16,0
149,Vejle,Dinamarca,4,12,3,4,5,25%33%42%,0,0,0,0,2,2,13,22,7,0
150,Esbjerg,Dinamarca,4,12,3,3,6,25%25%50%,0,0,0,0,2,2,11,28,1,0
151,Stuttgart,Alemania,5,29,9,8,12,31%27%42%,0,0,0,0,2,1,35,42,43,0
152,Magdeburg,Alemania,3,8,3,0,5,37%63%,0,0,0,0,2,1,15,11,7,0
153,København,Dinamarca,17,108,43,28,37,39%25%36%,0,0,0,0,2,0,149,134,176,6
154,Lille,Francia,8,56,14,16,26,25%28%47%,0,0,0,0,2,0,49,63,133,3
155,Swarovski Tirol,Austria,2,8,4,2,2,50%25%25%,0,0,0,0,2,0,21,18,7,0
156,Neuchâtel Xamax,Suiza,2,8,4,0,4,50%50%,0,0,0,0,2,0,14,13,4,0
157,Argeș Pitești,Rumanía,2,8,4,0,4,50%50%,0,0,0,0,2,0,13,10,12,1
158,Lokomotiv Sofia,Bulgaria,2,8,3,1,4,37%12%51%,0,0,0,0,2,0,19,21,1,0
159,Valur,Islandia,11,24,3,3,18,12%12%76%,0,0,0,0,1,6,13,66,15,1
160,Trabzonspor,Turquía,10,30,10,8,12,33%26%41%,0,0,0,0,1,5,25,36,42,3
161,Sliema Wanderers,Malta,10,24,5,1,18,20%4%76%,0,0,0,0,1,5,17,66,20,2
162,Dundalk,Irlanda,12,33,4,12,17,12%36%52%,0,0,0,0,1,5,24,60,29,1
163,ÍA,Islandia,9,22,3,4,15,13%18%69%,0,0,0,0,1,5,18,47,20,0
164,Waterford,Irlanda,6,14,3,0,11,21%79%,0,0,0,0,1,4,15,47,0,0
165,Haka,Finlandia,8,26,6,4,16,23%15%62%,0,0,0,0,1,3,30,56,23,1
166,KB,Dinamarca,4,13,4,2,7,30%15%55%,0,0,0,0,1,3,19,25,6,0
167,Lyn,Noruega,4,10,2,0,8,20%80%,0,0,0,0,1,3,14,41,0,0
168,Lech Poznań,Polonia,8,26,11,1,14,42%3%55%,0,0,0,0,1,2,29,43,35,2
169,Vålerenga,Noruega,6,14,4,3,7,28%21%51%,0,0,0,0,1,2,17,25,14,1
170,Reipas,Finlandia,3,8,2,2,4,25%25%50%,0,0,0,0,1,2,8,30,1,0
171,B1903,Dinamarca,3,8,2,1,5,25%12%63%,0,0,0,0,1,2,7,11,2,0
172,Hvidovre,Dinamarca,3,8,1,4,3,12%50%38%,0,0,0,0,1,2,13,19,2,0
173,Fredrikstad,Noruega,3,8,1,1,6,12%12%76%,0,0,0,0,1,2,6,22,0,0
174,TPS,Finlandia,4,10,1,0,9,10%90%,0,0,0,0,1,2,4,28,4,0
175,B1909,Dinamarca,3,6,0,1,5,16%84%,0,0,0,0,1,2,6,21,0,0
176,PAOK,Grecia,9,28,6,9,13,21%32%47%,0,0,0,0,1,1,36,49,68,2
177,Sarajevo,Bosnia-Herzegovina,6,18,5,2,11,27%11%62%,0,0,0,0,1,1,24,26,35,1
178,Bohemians,Irlanda,6,18,4,4,10,22%22%56%,0,0,0,0,1,1,13,29,18,0
179,Polonia Bytom,Polonia,2,6,3,0,3,50%50%,0,0,0,0,1,1,8,12,0,0
180,Beveren,Bélgica,2,6,2,2,2,33%33%34%,0,0,0,0,1,1,11,8,6,0
181,Gwardia Warszawa,Polonia,2,5,1,2,2,20%40%40%,0,0,0,0,1,1,6,9,0,2
182,Derry City,Irlanda del Norte,4,9,1,1,7,11%11%78%,0,0,0,0,1,1,9,26,10,0
183,UTA Arad,Rumanía,2,6,0,2,4,33%67%,0,0,0,0,1,1,3,17,2,0
184,Red Bull Salzburg,Austria,19,92,36,23,33,39%25%36%,0,0,0,0,1,0,129,123,187,10
185,Dinamo Tbilisi,Georgia,14,41,14,5,22,34%12%54%,0,0,0,0,1,0,54,61,78,6
186,Lokomotiv Moskva,Rusia,8,56,13,11,32,23%19%58%,0,0,0,0,1,0,55,84,117,6
187,Inter Bratislava,Eslovaquia,3,12,5,3,4,41%25%34%,0,0,0,0,1,0,16,17,5,1
188,Gent,Bélgica,3,13,4,1,8,30%7%63%,0,0,0,0,1,0,14,23,29,3
189,AZ Alkmaar,Países Bajos,3,12,3,5,4,25%41%34%,0,0,0,0,1,0,15,17,18,0
190,Celta de Vigo,España,1,10,3,3,4,30%30%40%,0,0,0,0,1,0,12,13,26,2
191,Royal Antwerp,Bélgica,2,10,3,0,7,30%70%,0,0,0,0,1,0,10,26,16,3
192,1860 München,Alemania,2,6,3,0,3,50%50%,0,0,0,0,1,0,13,7,2,1
193,Bohemians,República Checa,1,4,3,0,1,75%25%,0,0,0,0,1,0,7,2,4,0
194,Ipswich Town,Inglaterra,1,4,3,0,1,75%25%,0,0,0,0,1,0,16,5,0,0
195,Lyngby,Dinamarca,2,6,2,1,3,33%16%51%,0,0,0,0,1,0,7,5,7,1
196,Zaria,Ucrania,1,4,2,1,1,50%25%25%,0,0,0,0,1,0,3,1,2,0
197,Vítkovice,República Checa,1,4,2,1,1,50%25%25%,0,0,0,0,1,0,4,5,8,1
198,Hellas Verona,Italia,1,4,2,1,1,50%25%25%,0,0,0,0,1,0,5,4,6,0
199,Cagliari,Italia,1,4,2,0,2,50%50%,0,0,0,0,1,0,5,5,1,1
200,Molenbeek,Bélgica,1,4,2,0,2,50%50%,0,0,0,0,1,0,6,9,3,0
201,B 1913,Dinamarca,1,4,2,0,2,50%50%,0,0,0,0,1,0,15,14,0,0
202,Rapid București,Rumanía,3,8,1,3,4,12%37%51%,0,0,0,0,1,0,9,11,14,1
203,Zbrojovka Brno,República Checa,1,4,1,3,0,25%75%,0,0,0,0,1,0,7,5,3,0
204,La Chaux-de-Fonds,Suiza,1,4,1,2,1,25%50%25%,0,0,0,0,1,0,5,9,0,1
205,Kilmarnock,Escocia,1,4,1,2,1,25%50%25%,0,0,0,0,1,0,4,7,0,0
206,Torino,Italia,1,4,1,2,1,25%50%25%,0,0,0,0,1,0,4,4,6,3
207,AB,Dinamarca,1,4,1,1,2,25%25%50%,0,0,0,0,1,0,4,5,0,0
208,Spartak Plovdiv,Bulgaria,1,4,1,1,2,25%25%50%,0,0,0,0,1,0,3,3,0,0
209,Szombierki Byton,Polonia,1,4,1,0,3,25%75%,0,0,0,0,1,0,4,7,2,0
210,Saarbrücken,Alemania,1,2,1,0,1,50%50%,0,0,0,0,1,0,5,7,0,0
211,Rot-Weiss Essen,Alemania,1,2,0,1,1,50%50%,0,0,0,0,1,0,1,5,0,0
212,Rapid JC,Países Bajos,1,2,0,0,2,100%,0,0,0,0,1,0,3,6,0,0
213,Cork Celtic,Irlanda,1,2,0,0,2,100%,0,0,0,0,1,0,1,7,1,0
214,HPS,Finlandia,1,2,0,0,2,100%,0,0,0,0,1,0,0,7,0,0
