Temporada,idJugador,Jugador,Equipo,Edad,PJ,Titular,Mín,Gls.,Ass,TP,TPint,TA,TR,xG,npxG,PrgC,PrgP,PrgR,Valoracion
1992-01-01,1,Berry van Aerle,21,29.0,6,6,443.0,0,0.0,0.0,0.0,2,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,27.66644108444467
1992-01-01,2,Giorgos Agorogiannis,95,26.0,3,1,91.0,0,0.0,0.0,0.0,1,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,9.22926028771331
1992-01-01,3,Ernst Aigner,62,25.0,3,3,270.0,0,0.0,0.0,0.0,3,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,18.371241901605035
1992-01-01,4,Kadir Akbulut,94,32.0,2,2,135.0,0,0.0,0.0,0.0,0,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,11.32323373000136
1992-01-01,5,Flórián Albert Jr.,97,24.0,2,2,180.0,0,0.0,0.0,0.0,0,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,13.62149726421995
1992-01-01,6,Demetrio Albertini,2,20.0,7,7,581.0,1,0.0,0.0,0.0,1,1,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,35.12302943990943
1992-01-01,7,Alexis Alexandris,95,23.0,4,4,345.0,1,0.0,0.0,0.0,0,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,22.763478878111677
1992-01-01,8,Sefer Alibaev,429,24.0,1,1,20.0,0,0.0,0.0,0.0,0,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,5.2966760180503885
1992-01-01,9,Daniel Amokachi,38,19.0,6,6,493.0,1,0.0,0.0,0.0,1,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,30.628647417437513
1992-01-01,10,Guillermo Amor,5,24.0,4,3,314.0,1,0.0,0.0,0.0,0,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,21.180230665649976
1992-01-01,11,Manuel Amoros,17,30.0,3,3,245.0,0,0.0,0.0,0.0,0,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,17.094428827039152
