Equipo,ID
Lille,0
Napoli,1
Sporting de Portugal,2
Valencia,3
Ajax,4
Manchester City,5
Inter de Milán,6
Porto,7
Benfica,8
Barcelona,9
Villarreal,10
Tottenham Hotspur,11
Bayern,12
Tottenham,13
Beşiktaş,14
Gante,15
Shakhtar,16
París Saint-Germain,17
Roma,18
Real Madrid,19
Milan,20
Sevilla,21
Celtic,22
Monaco,23
Paris,24
Borussia Mönchengladbach,25
Brujas,26
Galatasaray,27
Dynamo Kiev,28
PSV,29
Olympiacos,30
Schalke 04,31
Bayern Múnich,32
Wolfsburgo,33
Atalanta,34
Arsenal,35
Lazio,36
Basilea,37
Málaga,38
Leipzig,39
Juventus,40
Bayer Leverkusen,41
Eintracht Fráncfort,42
Olympique de Lyon,43
Liverpool,44
Borussia Dortmund,45
Shakhtar Donetsk,46
Manchester United,47
Salzburgo,48
Leicester,49
Atlético de Madrid,50
Zenit,51
Chelsea,52
