Equipo,ID
Lille,0
Napoli,1
Sporting de Portugal,2
Valencia,3
Ajax,4
Manchester City,5
Inter de Milán,6
Porto,7
Benfica,8
Barcelona,9
Villarreal,10
Tottenham Hotspur,11
Bayern,12
Tottenham,13
Beşiktaş,14
Gante,15
Shakhtar,16
París Saint-Germain,17
Roma,18
Real Madrid,19
Milan,20
Sevilla,21
Celtic,22
Monaco,23
Oporto,24
Paris,25
Borussia Mönchengladbach,26
Brujas,27
Galatasaray,28
Dynamo Kiev,29
PSV,30
Olympiacos,31
Schalke 04,32
Bayern Múnich,33
Wolfsburgo,34
Atalanta,35
Arsenal,36
Lazio,37
Basilea,38
Málaga,39
Leipzig,40
Juventus,41
Bayer Leverkusen,42
Eintracht Fráncfort,43
Olympique de Lyon,44
Liverpool,45
Borussia Dortmund,46
Shakhtar Donetsk,47
Manchester United,48
Salzburgo,49
Leicester,50
Atlético de Madrid,51
Zenit,52
Chelsea,53
