,Tiempo Jugado,Rendimiento,Expectativa,Progresión,Por 90 Minutos,
Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Harry Kane,engENG,DL,30-203,21,21,"1,858",20.6,24,5,29,21,3,3,2,0,18.1,15.7,5.2,20.9,24,62,96,1.16,0.24,1.40,1.02,1.26,0.88,0.25,1.13,0.76,1.01,Partidos
Leroy Sané,deGER,DL,28-036,21,21,"1,834",20.4,8,11,19,8,0,0,4,0,9.9,9.9,10.3,20.2,105,93,241,0.39,0.54,0.93,0.39,0.93,0.48,0.51,0.99,0.48,0.99,Partidos
Alphonso Davies,caCAN,DF,23-106,18,17,"1,417",15.7,1,3,4,1,0,0,0,0,0.3,0.3,1.7,2.0,84,76,94,0.06,0.19,0.25,0.06,0.25,0.02,0.11,0.13,0.02,0.13,Partidos
Kim Min-jae,krKOR,DF,27-093,16,16,"1,407",15.6,1,0,1,1,0,0,2,0,0.6,0.6,0.2,0.8,10,93,2,0.06,0.00,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05,Partidos
Dayot Upamecano,frFRA,DF,25-112,17,16,"1,334",14.8,1,0,1,1,0,0,1,0,1.6,1.6,0.5,2.1,20,106,4,0.07,0.00,0.07,0.07,0.07,0.11,0.03,0.14,0.11,0.14,Partidos
Leon Goretzka,deGER,CC,29-010,17,14,"1,210",13.4,2,3,5,2,0,0,2,0,3.2,3.2,2.0,5.3,37,84,48,0.15,0.22,0.37,0.15,0.37,0.24,0.15,0.39,0.24,0.39,Partidos
Joshua Kimmich,deGER,CC,29-008,15,14,"1,130",12.6,1,3,4,1,0,0,1,1,0.6,0.6,3.1,3.6,20,136,19,0.08,0.24,0.32,0.08,0.32,0.05,0.24,0.29,0.05,0.29,Partidos
Kingsley Coman,frFRA,DL,27-248,15,14,"1,036",11.5,3,3,6,3,0,0,1,0,2.7,2.7,3.7,6.4,69,60,187,0.26,0.26,0.52,0.26,0.52,0.24,0.32,0.56,0.24,0.56,Partidos
Konrad Laimer,atAUT,"DF,CC",26-265,18,13,"1,268",14.1,0,2,2,0,0,0,2,0,0.7,0.7,2.6,3.3,54,90,83,0.00,0.14,0.14,0.00,0.14,0.05,0.18,0.23,0.05,0.23,Partidos
Manuel Neuer,deGER,PO,37-326,13,13,"1,170",13.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Jamal Musiala,deGER,"CC,DL",20-355,16,13,"1,158",12.9,5,2,7,5,0,0,1,0,4.0,4.0,2.2,6.2,58,66,91,0.39,0.16,0.54,0.39,0.54,0.31,0.17,0.48,0.31,0.48,Partidos
Noussair Mazraoui,maMAR,DF,26-094,13,12,971,10.8,0,3,3,0,0,0,3,0,0.8,0.8,1.7,2.5,27,92,67,0.00,0.28,0.28,0.00,0.28,0.08,0.16,0.24,0.08,0.24,Partidos
