Equipo 1,Agr.,Equipo 2,Ida,Vuelta,Temporada,goles1,goles2
Leipzig,1–8,Manchester City,1–1,0–7,22/23,1,8
Brujas,1–7,Benfica,0–2,1–5,22/23,1,7
Liverpool,2–6,Real Madrid,2–5,0–1,22/23,2,6
Milan,1–0,Tottenham Hotspur,1–0,0–0,22/23,1,0
Eintracht Fráncfort,0–5,Napoli,0–2,0–3,22/23,0,5
Borussia Dortmund,1–2,Chelsea,1–0,0–2,22/23,1,2
Inter de Milán,1–0,Porto,1–0,0–0,22/23,1,0
París Saint-Germain,0–3,Bayern Múnich,0–1,0–2,22/23,0,3
Salzburgo,2–8,Bayern Múnich,1–1,1–7,21/22,2,8
Sporting de Portugal,0–5,Manchester City,0–5,0–0,21/22,0,5
Benfica,3–2,Ajax,2–2,1–0,21/22,3,2
Chelsea,4–1,Lille,2–0,2–1,21/22,4,1
Atlético de Madrid,2–1,Manchester United,1–1,1–0,21/22,2,1
Villarreal,4–1,Juventus,1–1,3–0,21/22,4,1
Inter de Milán,1–2,Liverpool,0–2,1–0,21/22,1,2
París Saint-Germain,2–3,Real Madrid,1–0,1–3,21/22,2,3
Borussia Mönchengladbach,0–4,Manchester City,0–2,0–2,20/21,0,4
Lazio,2–6,Bayern Múnich,1–4,1–2,20/21,2,6
Atlético de Madrid,0–3,Chelsea,0–1,0–2,20/21,0,3
Leipzig,0–4,Liverpool,0–2,0–2,20/21,0,4
Porto,4–4(v.)(t. s.),Juventus,2–1,2–3,20/21,4,4(v.)(t. s.)
Barcelona,2–5,París Saint-Germain,1–4,1–1,20/21,2,5
Sevilla,4–5,Borussia Dortmund,2–3,2–2,20/21,4,5
Atalanta,1–4,Real Madrid,0–1,1–3,20/21,1,4
Borussia Dortmund,2–3,París Saint-Germain,2–1,0–2,19/20,2,3
Real Madrid,2–4,Manchester City,1–2,1–2,19/20,2,4
Atalanta,8–4,Valencia,4–1,4–3,19/20,8,4
Atlético de Madrid,4–2(t. s.),Liverpool,1–0,3–2,19/20,4,2(t. s.)
Chelsea,1–7,Bayern Múnich,0–3,1–4,19/20,1,7
Olympique de Lyon,2–2(v.),Juventus,1–0,1–2,19/20,2,2(v.)
Tottenham Hotspur,0–4,Leipzig,0–1,0–3,19/20,0,4
Napoli,2–4,Barcelona,1–1,1–3,19/20,2,4
Schalke 04,2–10,Manchester City,2–3,0–7,18/19,2,10
Atlético de Madrid,2–3,Juventus,2–0,0–3,18/19,2,3
Manchester United,(v)3–3,París Saint-Germain,0–2,3–1,18/19,(v)3,3
Tottenham Hotspur,4–0,Borussia Dortmund,3–0,1–0,18/19,4,0
Olympique de Lyon,1–5,Barcelona,0–0,1–5,18/19,1,5
Roma,3–4(t. s.),Porto,2–1,1–3,18/19,3,4(t. s.)
Ajax,5–3,Real Madrid,1–2,4–1,18/19,5,3
Liverpool,3–1,Bayern Múnich,0–0,3–1,18/19,3,1
París Saint-Germain,5–6,Barcelona,4–0,6–1,16/17,5,6
Benfica,1–4,Borussia Dortmund,1–0,4–0,16/17,1,4
Real Madrid,6–2,Napoli,3–1,1–3,16/17,6,2
Bayern Múnich,10–2,Arsenal,5–1,1–5,16/17,10,2
Manchester City,6–6,Monaco,5–3,3–1,16/17,6,6
Bayer Leverkusen,2–4,Atlético de Madrid,2–4,0–0,16/17,2,4
Sevilla,2–3,Leicester,2–1,2–0,16/17,2,3
Porto,0–3,Juventus,0–2,1–0,16/17,0,3
Roma,0–4,Real Madrid,0–2,2–0,15/16,0,4
Gante,2–4,Wolfsburgo,2–3,1–0,15/16,2,4
París Saint-Germain,4–2,Chelsea,2–1,1–2,15/16,4,2
Benfica,3–1,Zenit,1–0,1–2,15/16,3,1
Arsenal,1–5,Barcelona,0–2,3–1,15/16,1,5
Juventus,4–6,Bayern Múnich,2–2,4–2,15/16,4,6
Dynamo Kiev,1–3,Manchester City,1–3,0–0,15/16,1,3
PSV,0–0,Atlético de Madrid,0–0,0–0,15/16,0,0
París Saint-Germain,3–3,Chelsea,1–1,2–2,14/15,3,3
Shakhtar Donetsk,0–7,Bayern Múnich,0–0,7–0,14/15,0,7
Basilea,1–5,Porto,1–1,4–0,14/15,1,5
Schalke 04,4–5,Real Madrid,0–2,3–4,14/15,4,5
Manchester City,1–3,Barcelona,1–2,1–0,14/15,1,3
Juventus,5–1,Borussia Dortmund,2–1,0–3,14/15,5,1
Arsenal,3–3,Monaco,1–3,0–2,14/15,3,3
Bayer Leverkusen,1–1,Atlético de Madrid,1–0,1–0,14/15,1,1
Manchester City,1–4,Barcelona,0–2,2–1,13/14,1,4
Bayer Leverkusen,1–6,París Saint-Germain,0–4,2–1,13/14,1,6
Arsenal,1–3,Bayern Múnich,0–2,1–1,13/14,1,3
Inter de Milán,1–5,Atlético de Madrid,0–1,4–1,13/14,1,5
Zenit,4–5,Borussia Dortmund,2–4,1–2,13/14,4,5
Olympiacos,2–3,Manchester United,2–0,3–0,13/14,2,3
Galatasaray,1–3,Chelsea,1–1,2–0,13/14,1,3
Schalke 04,2–9,Real Madrid,1–6,3–1,13/14,2,9
