Equipo 1,Equipo 2,Temporada,goles_1,goles_2,goles_ida_1,goles_ida_2,goles_vuelta_2,goles_vuelta_1
Leipzig,Manchester City,22/23,1,8,1,1,0,7
Brujas,Benfica,22/23,1,7,0,2,1,5
Liverpool,Real Madrid,22/23,2,6,2,5,0,1
Milan,Tottenham Hotspur,22/23,1,0,1,0,0,0
Eintracht Fráncfort,Napoli,22/23,0,5,0,2,0,3
Borussia Dortmund,Chelsea,22/23,1,2,1,0,0,2
Inter de Milán,Porto,22/23,1,0,1,0,0,0
París Saint-Germain,Bayern Múnich,22/23,0,3,0,1,0,2
Salzburgo,Bayern Múnich,21/22,2,8,1,1,1,7
Sporting de Portugal,Manchester City,21/22,0,5,0,5,0,0
Benfica,Ajax,21/22,3,2,2,2,1,0
Chelsea,Lille,21/22,4,1,2,0,2,1
Atlético de Madrid,Manchester United,21/22,2,1,1,1,1,0
Villarreal,Juventus,21/22,4,1,1,1,3,0
Inter de Milán,Liverpool,21/22,1,2,0,2,1,0
París Saint-Germain,Real Madrid,21/22,2,3,1,0,1,3
Borussia Mönchengladbach,Manchester City,20/21,0,4,0,2,0,2
Lazio,Bayern Múnich,20/21,2,6,1,4,1,2
Atlético de Madrid,Chelsea,20/21,0,3,0,1,0,2
Leipzig,Liverpool,20/21,0,4,0,2,0,2
Porto,Juventus,20/21,4,4,2,1,2,3
Barcelona,París Saint-Germain,20/21,2,5,1,4,1,1
Sevilla,Borussia Dortmund,20/21,4,5,2,3,2,2
Atalanta,Real Madrid,20/21,1,4,0,1,1,3
Borussia Dortmund,París Saint-Germain,19/20,2,3,2,1,0,2
Real Madrid,Manchester City,19/20,2,4,1,2,1,2
Atalanta,Valencia,19/20,8,4,4,1,4,3
Atlético de Madrid,Liverpool,19/20,4,2,1,0,3,2
Chelsea,Bayern Múnich,19/20,1,7,0,3,1,4
Olympique de Lyon,Juventus,19/20,2,2,1,0,1,2
Tottenham Hotspur,Leipzig,19/20,0,4,0,1,0,3
Napoli,Barcelona,19/20,2,4,1,1,1,3
Schalke 04,Manchester City,18/19,2,10,2,3,0,7
Atlético de Madrid,Juventus,18/19,2,3,2,0,0,3
Manchester United,París Saint-Germain,18/19,3,3,0,2,3,1
Tottenham Hotspur,Borussia Dortmund,18/19,4,0,3,0,1,0
Olympique de Lyon,Barcelona,18/19,1,5,0,0,1,5
Roma,Porto,18/19,3,4,2,1,1,3
Ajax,Real Madrid,18/19,5,3,1,2,4,1
Liverpool,Bayern Múnich,18/19,3,1,0,0,3,1
Juventus,Tottenham,17/18,4,3,2,2,1,2
Basilea,Manchester City,17/18,2,5,0,4,1,2
Oporto,Liverpool,17/18,0,5,0,5,0,0
Real Madrid,Paris,17/18,5,2,3,1,1,2
Chelsea,Barcelona,17/18,1,4,1,1,3,0
Bayern,Beşiktaş,17/18,8,1,5,0,1,3
Sevilla,Manchester United,17/18,2,1,0,0,1,2
Shakhtar,Roma,17/18,2,2,2,1,1,0
París Saint-Germain,Barcelona,16/17,5,6,4,0,6,1
Benfica,Borussia Dortmund,16/17,1,4,1,0,4,0
Real Madrid,Napoli,16/17,6,2,3,1,1,3
Bayern Múnich,Arsenal,16/17,10,2,5,1,1,5
Manchester City,Monaco,16/17,6,6,5,3,3,1
Bayer Leverkusen,Atlético de Madrid,16/17,2,4,2,4,0,0
Sevilla,Leicester,16/17,2,3,2,1,2,0
Porto,Juventus,16/17,0,3,0,2,1,0
Roma,Real Madrid,15/16,0,4,0,2,2,0
Gante,Wolfsburgo,15/16,2,4,2,3,1,0
París Saint-Germain,Chelsea,15/16,4,2,2,1,1,2
Benfica,Zenit,15/16,3,1,1,0,1,2
Arsenal,Barcelona,15/16,1,5,0,2,3,1
Juventus,Bayern Múnich,15/16,4,6,2,2,4,2
Dynamo Kiev,Manchester City,15/16,1,3,1,3,0,0
PSV,Atlético de Madrid,15/16,0,0,0,0,0,0
París Saint-Germain,Chelsea,14/15,3,3,1,1,2,2
Shakhtar Donetsk,Bayern Múnich,14/15,0,7,0,0,7,0
Basilea,Porto,14/15,1,5,1,1,4,0
Schalke 04,Real Madrid,14/15,4,5,0,2,3,4
Manchester City,Barcelona,14/15,1,3,1,2,1,0
Juventus,Borussia Dortmund,14/15,5,1,2,1,0,3
Arsenal,Monaco,14/15,3,3,1,3,0,2
Bayer Leverkusen,Atlético de Madrid,14/15,1,1,1,0,1,0
Manchester City,Barcelona,13/14,1,4,0,2,2,1
Bayer Leverkusen,París Saint-Germain,13/14,1,6,0,4,2,1
Arsenal,Bayern Múnich,13/14,1,3,0,2,1,1
Inter de Milán,Atlético de Madrid,13/14,1,5,0,1,4,1
Zenit,Borussia Dortmund,13/14,4,5,2,4,1,2
Olympiacos,Manchester United,13/14,2,3,2,0,3,0
Galatasaray,Chelsea,13/14,1,3,1,1,2,0
Schalke 04,Real Madrid,13/14,2,9,1,6,3,1
Celtic,Juventus,12/13,0,5,0,3,2,0
Valencia,París Saint-Germain,12/13,2,3,1,2,1,1
Shakhtar Donetsk,Borussia Dortmund,12/13,2,5,2,2,3,0
Real Madrid,Manchester United,12/13,3,2,1,1,1,2
Porto,Málaga,12/13,1,2,1,0,2,0
Arsenal,Bayern Múnich,12/13,3,3,1,3,0,2
Galatasaray,Schalke 04,12/13,4,3,1,1,2,3
Inter de Milán,Barcelona,12/13,2,4,2,0,4,0
