Equipo 1,Equipo 2,Temporada,goles_1,goles_2,goles_ida_1,goles_ida_2,goles_vuelta_2,goles_vuelta_1
41,1,23,1,8,1,1,0,7
9,2,23,1,7,0,2,1,5
14,40,23,2,6,2,5,0,1
3,45,23,1,0,1,0,0,0
32,34,23,0,5,0,2,0,3
31,52,23,1,2,1,0,0,2
7,23,23,1,0,1,0,0,0
0,5,23,0,3,0,1,0,2
44,5,22,2,8,1,1,1,7
35,1,22,0,5,0,5,0,0
2,20,22,3,2,2,2,1,0
52,24,22,4,1,2,0,2,1
38,53,22,2,1,1,1,1,0
43,25,22,4,1,1,1,3,0
7,14,22,1,2,0,2,1,0
0,40,22,2,3,1,0,1,3
36,1,21,0,4,0,2,0,2
29,5,21,2,6,1,4,1,2
38,52,21,0,3,0,1,0,2
41,14,21,0,4,0,2,0,2
23,25,21,4,4,2,1,2,3
33,0,21,2,5,1,4,1,1
42,31,21,4,5,2,3,2,2
11,40,21,1,4,0,1,1,3
31,0,20,2,3,2,1,0,2
40,1,20,2,4,1,2,1,2
11,21,20,8,4,4,1,4,3
38,14,20,4,2,1,0,3,2
52,5,20,1,7,0,3,1,4
30,25,20,2,2,1,0,1,2
45,41,20,0,4,0,1,0,3
34,33,20,2,4,1,1,1,3
51,1,19,2,10,2,3,0,7
38,25,19,2,3,2,0,0,3
53,0,19,3,3,0,2,3,1
45,31,19,4,0,3,0,1,0
30,33,19,1,5,0,0,1,5
39,23,19,3,4,2,1,1,3
20,40,19,5,3,1,2,4,1
14,5,19,3,1,0,0,3,1
25,48,18,4,3,2,2,1,2
4,1,18,2,5,0,4,1,2
6,14,18,0,5,0,5,0,0
40,26,18,5,2,3,1,1,2
52,33,18,1,4,1,1,3,0
27,49,18,8,1,5,0,1,3
42,53,18,2,1,0,0,1,2
16,39,18,2,2,2,1,1,0
0,33,17,5,6,4,0,6,1
2,31,17,1,4,1,0,4,0
40,34,17,6,2,3,1,1,3
5,28,17,10,2,5,1,1,5
1,10,17,6,6,5,3,3,1
50,38,17,2,4,2,4,0,0
42,19,17,2,3,2,1,2,0
23,25,17,0,3,0,2,1,0
39,40,16,0,4,0,2,2,0
18,17,16,2,4,2,3,1,0
0,52,16,4,2,2,1,1,2
2,22,16,3,1,1,0,1,2
28,33,16,1,5,0,2,3,1
25,5,16,4,6,2,2,4,2
13,1,16,1,3,1,3,0,0
8,38,16,0,0,0,0,0,0
0,52,15,3,3,1,1,2,2
12,5,15,0,7,0,0,7,0
4,23,15,1,5,1,1,4,0
51,40,15,4,5,0,2,3,4
1,33,15,1,3,1,2,1,0
25,31,15,5,1,2,1,0,3
28,10,15,3,3,1,3,0,2
50,38,15,1,1,1,0,1,0
1,33,14,1,4,0,2,2,1
50,0,14,1,6,0,4,2,1
28,5,14,1,3,0,2,1,1
3,38,14,1,5,0,1,4,1
22,31,14,4,5,2,4,1,2
37,53,14,2,3,2,0,3,0
47,52,14,1,3,1,1,2,0
51,40,14,2,9,1,6,3,1
46,25,13,0,5,0,3,2,0
21,0,13,2,3,1,2,1,1
12,31,13,2,5,2,2,3,0
40,53,13,3,2,1,1,1,2
23,15,13,1,2,1,0,2,0
28,5,13,3,3,1,3,0,2
47,51,13,4,3,1,1,2,3
3,33,13,2,4,2,0,4,0
